job_id,skill
159,Azure
159,Docker
159,Hadoop
159,Java
159,Kafka
159,Kubernetes
159,NoSQL
159,Python
159,SQL
159,Snowflake
159,Spark
160,Airflow
160,Data Warehouse
160,Docker
160,Hadoop
160,Hive
160,Java
160,Kafka
160,Kubernetes
160,Linux
160,Python
160,SQL
160,SQL Server
160,Scala
160,Spark
161,Azure
161,ETL
161,SQL
162,AWS
162,Hadoop
162,Machine Learning
162,Python
162,SQL
162,Spark
163,BigQuery
163,Python
163,Redshift
163,SQL
163,Snowflake
164,ETL
164,Python
164,R
164,SQL
165,AWS
165,Azure
165,Data Warehouse
165,GCP
165,Kafka
165,Machine Learning
165,NoSQL
165,Python
165,R
165,SQL
166,Machine Learning
166,Python
166,Redshift
166,SQL
166,Snowflake
167,AWS
167,Airflow
167,Azure
167,Hadoop
167,Java
167,Kafka
167,Kubernetes
167,Linux
167,Machine Learning
167,Oracle
167,Python
167,R
167,SQL
167,Scala
167,Spark
168,AWS
168,Airflow
168,Kafka
168,Linux
168,Python
168,SQL
169,Java
169,MySQL
169,PostgreSQL
169,Python
170,Airflow
170,BigQuery
170,Data Modeling
170,ELT
170,GCP
170,MongoDB
170,Python
171,AWS
171,Airflow
171,ETL
171,GCP
171,Linux
171,Machine Learning
171,NoSQL
171,Pandas
171,Python
171,Redshift
171,SQL
172,BigQuery
172,Data Modeling
172,Looker
172,Redshift
172,SQL
172,Tableau
172,dbt
173,Data Lake
173,Data Modeling
173,Data Warehouse
173,Machine Learning
173,SQL
174,AWS
174,Data Modeling
174,ETL
174,Hadoop
174,Java
174,Python
174,SQL
174,Scala
174,Spark
175,Airflow
175,Docker
175,Git
175,Python
175,SQL
176,AWS
176,Machine Learning
176,NoSQL
176,Pandas
176,Python
176,R
177,AWS
177,ETL
177,Hadoop
177,Java
177,MySQL
177,Oracle
177,PostgreSQL
177,Python
177,Redshift
177,Scala
177,Snowflake
177,Spark
178,AWS
178,Data Modeling
178,MySQL
178,Python
178,SQL
180,AWS
180,Airflow
180,Data Warehouse
180,Docker
180,ELT
180,Kubernetes
180,Looker
180,Python
180,R
180,Redshift
181,AWS
181,Docker
181,Kubernetes
181,Python
181,Redshift
181,Scala
182,BigQuery
182,Docker
182,Java
182,Python
182,Scala
182,Tableau
183,Data Modeling
183,Data Warehouse
183,ETL
183,MySQL
183,Python
183,Redshift
183,SQL
183,Snowflake
183,Spark
184,AWS
184,Data Warehouse
184,ETL
184,Hadoop
184,Hive
184,NoSQL
184,Python
184,SQL
184,Spark
185,AWS
185,Hadoop
185,Hive
185,Java
185,Kafka
185,Linux
185,NoSQL
185,Oracle
185,Python
185,SQL
185,Spark
186,AWS
186,Airflow
186,Docker
186,GCP
186,Java
186,Kubernetes
186,Python
186,SQL
186,Spark
187,Data Modeling
187,Data Warehouse
187,ELT
187,ETL
187,Hadoop
187,Hive
187,SQL
187,Spark
188,Data Warehouse
188,ETL
188,Hadoop
188,Oracle
188,Python
188,SQL
188,SQL Server
189,AWS
189,Python
189,Redshift
189,Spark
190,Data Warehouse
190,ETL
190,Git
190,Python
190,SQL
190,SQL Server
191,AWS
191,Airflow
191,GCP
191,Hadoop
191,Java
191,Kafka
191,MongoDB
191,NoSQL
191,Python
191,SQL
191,Spark
192,ETL
192,Hadoop
192,Hive
192,Java
192,Machine Learning
192,MySQL
192,NoSQL
192,Python
193,Java
193,Python
193,Scala
194,Hadoop
194,Hive
194,Scala
194,Spark
195,Data Modeling
195,ETL
195,Java
195,Kafka
195,Kubernetes
195,Python
195,Spark
196,AWS
196,Data Modeling
196,ETL
196,Hadoop
196,Hive
196,Python
196,Redshift
196,SQL
196,SQL Server
196,Snowflake
196,Spark
196,Tableau
197,Airflow
197,BigQuery
197,Data Warehouse
197,ELT
197,ETL
197,GCP
197,Hadoop
197,Hive
197,Java
197,Machine Learning
197,NoSQL
197,Python
197,Scala
197,Snowflake
197,Spark
198,AWS
198,Airflow
198,Data Modeling
198,ELT
198,ETL
198,Hadoop
198,Java
198,Kafka
198,NoSQL
198,NumPy
198,Pandas
198,Python
198,R
198,Redshift
198,Scala
198,Spark
199,Git
199,Python
199,SQL
200,Hadoop
200,Kafka
200,Machine Learning
200,NumPy
200,Pandas
200,Python
200,SQL
200,SQL Server
200,Spark
201,AWS
201,Git
201,Java
201,Linux
201,Python
201,Scala
202,Airflow
202,ETL
202,Kafka
202,Python
202,Redshift
203,Machine Learning
203,Power BI
203,Python
203,SQL
204,Airflow
204,BigQuery
204,Data Warehouse
204,ELT
204,ETL
204,GCP
204,Hadoop
204,Hive
204,Java
204,Machine Learning
204,NoSQL
204,Python
204,Scala
204,Snowflake
204,Spark
205,Data Warehouse
205,ETL
205,Java
205,Machine Learning
205,Python
205,Redshift
205,SQL
205,Scala
205,Spark
206,AWS
206,Data Warehouse
206,ETL
206,Hadoop
206,Hive
206,Python
206,Redshift
206,SQL
206,Scala
206,Snowflake
206,Spark
207,AWS
207,Hadoop
207,Hive
207,Java
207,Kafka
207,MySQL
207,NoSQL
207,Python
207,SQL
207,Scala
207,Spark
208,AWS
208,Airflow
208,Data Lake
208,ETL
208,Python
208,R
208,Redshift
208,SQL
208,Snowflake
208,Tableau
209,Linux
209,R
210,BigQuery
210,Data Modeling
210,Data Warehouse
210,ETL
210,Python
210,Redshift
210,SQL
210,Snowflake
211,AWS
211,Airflow
211,Data Warehouse
211,Java
211,Python
211,Redshift
211,SQL
212,AWS
212,Python
212,R
213,AWS
213,Python
213,SQL
214,Git
214,Machine Learning
214,Python
215,Docker
215,PostgreSQL
215,Python
215,Redshift
215,SQL
216,AWS
216,Data Modeling
216,ETL
216,GCP
216,Git
216,Hadoop
216,Hive
216,Linux
216,Machine Learning
216,Python
216,R
216,SQL
216,SQL Server
216,Spark
217,AWS
217,Docker
217,ETL
217,Java
217,Kafka
217,Machine Learning
217,Python
217,Redshift
217,Scala
217,Spark
218,AWS
218,Data Modeling
218,Docker
218,Git
218,Java
218,Kafka
218,Kubernetes
218,Linux
218,NoSQL
218,Python
218,Redshift
218,Tableau
219,Data Modeling
219,Data Warehouse
219,ETL
219,Oracle
219,SQL
219,SQL Server
220,Hadoop
220,Java
220,Machine Learning
220,NoSQL
220,Python
220,R
220,SQL
220,Scala
220,Spark
221,Machine Learning
222,Airflow
222,BigQuery
222,Data Warehouse
222,Kafka
222,Machine Learning
223,Data Warehouse
223,ELT
223,ETL
223,Hadoop
223,Hive
223,Python
223,SQL
223,Spark
223,Tableau
224,AWS
224,Data Modeling
224,ETL
224,Python
224,SQL
224,Snowflake
224,Tableau
225,AWS
225,ETL
225,Hadoop
225,Hive
225,Java
225,MySQL
225,Oracle
225,Python
225,R
225,SQL
226,AWS
